number,text
0,Custom crawling & News API: designing a web scraping solution
1,Vehicle API (Beta): Extract Automotive Data at Scale
2,A Practical Guide to Web Data QA Part II: Common validation pitfalls
3,Transitioning to Remote Working as a Company
4,A Practical Guide to Web Data QA Part I: Validation Techniques
5,COVID-19: Handling the Situation as a Fully Remote Company
6,Extracting clean article HTML with News API
7,Job Postings Beta API: Extract Job Postings at Scale
8,Building spiders made easy: GUI For Your Scrapy Shell
9,How To Scrape The Web Without Getting Blocked
